,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
61,62,2017-10-18 13:22:29,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,0.30434782608695654,0.38461538461538464,0.0,0.02
62,63,2017-10-18 13:34:40,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,0.17391304347826086,0.0,0.0,0.04
63,64,2017-10-18 13:02:30,2IJ,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15384615384615385,0.1276595744680851,0.22
64,65,2017-10-18 11:19:28,3AB,0.0,0.5,0.5,0.0,1.0,1.0,0.8260869565217391,1.0,0.46808510638297873,0.32
65,66,2017-10-18 11:25:16,3AB,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06
66,67,2017-10-18 11:43:11,3AB,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,68,2017-10-18 11:49:21,3AB,0.0,0.0,1.0,0.5,1.0,0.0,0.2608695652173913,0.5384615384615385,0.0425531914893617,0.02
68,69,2017-10-18 12:55:35,3CD,1.0,0.0,1.0,1.0,0.0,0.5,0.5217391304347826,0.3076923076923077,0.02127659574468085,0.0
69,70,2017-10-18 13:00:06,3CD,0.5,0.5,1.0,1.0,0.0,1.0,0.43478260869565216,0.07692307692307693,0.3191489361702128,0.34
70,71,2017-10-18 13:05:02,3CD,0.0,1.0,1.0,1.0,1.0,1.0,0.08695652173913043,0.0,0.2765957446808511,0.18
71,72,2017-10-18 13:10:15,3CD,0.5,1.0,1.0,1.0,0.0,0.5,0.30434782608695654,0.07692307692307693,0.1276595744680851,0.12
72,73,2017-10-18 13:15:04,3CD,1.0,0.5,1.0,1.0,0.5,1.0,0.2608695652173913,0.5384615384615385,0.5531914893617021,0.42
73,74,2017-10-18 13:19:13,3CD,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.23404255319148937,0.26
74,75,2017-10-18 13:23:34,3CD,0.5,1.0,1.0,1.0,0.5,1.0,0.043478260869565216,0.15384615384615385,0.0,0.12
75,76,2017-10-18 13:30:29,3CD,1.0,1.0,1.0,1.0,1.0,0.0,0.13043478260869565,0.0,0.0,0.0
76,77,2017-10-18 13:34:46,3CD,0.5,1.0,1.0,0.5,1.0,0.0,0.21739130434782608,0.15384615384615385,0.0,0.0
